number_sta,lat,lon,height_sta,date,dd,ff,precip,hu,td,t,psl
12063003,43.986999999999995,3.18167,795.0,20160101 00:00,,,0.0,,,278.55,
12077002,43.92,3.19,718.0,20160101 00:00,330.0,2.2,0.0,98.0,279.05,279.35,
12092001,44.11,2.64,812.0,20160101 00:00,,,0.0,,,277.65,
12145001,44.12,3.02,713.0,20160101 00:00,360.0,4.3,0.0,95.0,277.65,278.35,102660.0
12154003,43.89,2.84,374.0,20160101 00:00,320.0,1.1,0.0,89.0,279.25,280.95,
12179001,43.76,2.87,830.0,20160101 00:00,,,0.0,,,278.95,
12189001,44.24,2.25999,564.0,20160101 00:00,,,0.0,,,278.55,
12216001,44.51,2.83,380.0,20160101 00:00,50.0,2.3,0.0,96.0,278.55,279.15,
12254001,44.41,2.48,579.0,20160101 00:00,350.0,0.7,0.0,98.0,278.35,278.65,102720.0
12300004,44.37,2.02,330.0,20160101 00:00,40.0,0.8,0.0,98.0,278.35,278.65,
13001006,43.5047,5.3657,106.0,20160101 00:00,,,0.0,,,281.15,
13001009,43.53,5.42,173.0,20160101 00:00,0.0,0.0,0.0,91.0,280.55,281.95,
13004003,43.51,4.69383,1.0,20160101 00:00,50.0,1.5,0.0,95.0,282.05,282.85,
13005003,43.31,5.6,130.0,20160101 00:00,0.0,0.0,0.0,94.0,279.75,280.65,
13022003,43.22,5.5,212.0,20160101 00:00,0.0,0.0,0.0,88.0,279.55,281.45,
13028001,43.17,5.57,316.0,20160101 00:00,80.0,3.3,,,,,
13031002,43.39,5.6,201.0,20160101 00:00,,,0.0,,,280.05,
13036003,43.85,4.83,17.0,20160101 00:00,80.0,0.7,0.0,97.0,282.15,282.65,
13047001,43.52,4.92,24.0,20160101 00:00,40.0,1.8,0.0,91.0,281.35,282.75,102550.0
13054001,43.44,5.22,32.0,20160101 00:00,190.0,1.7,0.0,93.0,282.15,283.25,102550.0
13055029,43.31,5.48,192.0,20160101 00:00,0.0,0.0,0.0,88.0,279.75,281.65,
13056002,43.33,5.05,27.0,20160101 00:00,30.0,4.3,,,,,
13062002,43.42,5.5,416.0,20160101 00:00,170.0,0.8,0.0,94.0,279.45,280.35,
13074003,43.65683,5.6066699999999985,217.0,20160101 00:00,70.0,2.1,0.0,92.0,278.65,279.85,
13091002,43.6,5.32,250.0,20160101 00:00,0.0,0.0,0.0,95.0,279.85,280.55,
13099001,43.71,5.77,296.0,20160101 00:00,100.0,0.6,0.0,95.0,277.85,278.55,102650.0
13103001,43.6,5.09999,59.0,20160101 00:00,10.0,0.9,0.0,94.0,280.85,281.75,102590.0
13108004,43.83,4.63999,15.0,20160101 00:00,0.0,0.0,0.0,100.0,282.55,282.55,
13110003,43.45,5.7,264.0,20160101 00:00,0.0,0.0,0.0,92.0,278.45,279.65,
13111002,43.55,5.68,565.0,20160101 00:00,0.0,0.0,0.0,92.0,276.95,278.15,
15014004,44.9,2.42,640.0,20160101 00:00,50.0,0.7,0.0,95.0,275.65,276.35,102820.0
15053001,45.07,2.99,979.0,20160101 00:00,280.0,3.6,0.0,99.0,271.85,271.95,
15060002,44.8,3.01,1080.0,20160101 00:00,0.0,0.0,0.0,99.0,276.45,276.55,
15101004,45.08,2.75,1238.0,20160101 00:00,,,0.0,,,272.05,
15114002,45.3,2.83,1075.0,20160101 00:00,120.0,1.8,0.0,97.0,272.75,273.15,
15120005,45.22,2.29,674.0,20160101 00:00,0.0,0.0,0.0,98.0,277.65,277.95,
15122002,44.73,2.17,480.0,20160101 00:00,320.0,1.3,0.0,97.0,275.95,276.35,
15187006,45.0243,3.0673,909.0,20160101 00:00,,,0.0,,,274.75,
15207002,45.18,3.17,805.0,20160101 00:00,,,0.0,,,271.75,
19073006,45.3988,2.05799,610.0,20160101 00:00,,,0.0,,,276.45,
19125001,45.283,2.04,598.0,20160101 00:00,,,0.0,,,277.95,
19136002,45.535,2.15499,670.0,20160101 00:00,,,0.0,,,274.35,
19148001,45.378,2.282,615.0,20160101 00:00,,,0.0,,,277.65,
19164001,45.7,2.06,827.0,20160101 00:00,0.0,0.0,0.0,100.0,274.55,274.55,
19201001,45.54,2.42,745.0,20160101 00:00,60.0,0.5,0.0,100.0,276.95,276.95,
19237001,45.138999999999996,2.1,585.0,20160101 00:00,,,0.0,,,278.15,
19275004,45.528,2.282,670.0,20160101 00:00,,,0.0,,,275.45,
20004002,41.92,8.78999,9.0,20160101 00:00,50.0,2.0,0.0,94.0,282.85,283.75,102520.0
20004003,41.90999,8.61999,124.0,20160101 00:00,100.0,5.3,,,,,
20004014,41.93849,8.72082,91.0,20160101 00:00,,,0.0,,,283.75,
20016006,42.15,9.4,105.0,20160101 00:00,,,0.0,,,281.75,
20040004,42.1,9.1,1019.0,20160101 00:00,210.0,3.8,0.0,100.0,278.15,278.35,
20041001,41.36999,9.18,116.0,20160101 00:00,,,0.0,81.0,280.45,283.55,102510.0
20050001,42.53,8.78999,58.0,20160101 00:00,160.0,0.7,0.0,93.0,282.35,283.45,102510.0
20054002,42.49467,9.353,499.0,20160101 00:00,,,0.0,,,280.55,
20092001,41.717,9.3485,253.0,20160101 00:00,0.0,0.0,0.0,86.0,280.05,282.25,
20093002,42.63,8.92,145.0,20160101 00:00,260.0,2.1,0.0,77.0,280.65,284.55,102500.0
20096008,42.3055,9.15049,350.0,20160101 00:00,240.0,0.5,0.0,92.0,279.05,280.25,
20112001,42.55,8.94,280.0,20160101 00:00,,,0.0,,,282.35,
20114002,41.51,9.1,23.0,20160101 00:00,0.0,0.0,0.0,93.0,279.55,280.65,102530.0
20148001,42.54,9.49,12.0,20160101 00:00,250.0,1.1,0.0,85.0,280.55,282.95,102540.0
20149002,42.06,9.36,66.0,20160101 00:00,,,0.0,91.0,280.55,282.05,
20154001,42.19,8.66,515.0,20160101 00:00,170.0,0.7,0.0,92.0,280.85,282.25,
20169007,42.47,9.19999,240.0,20160101 00:00,,,0.0,86.0,279.25,281.55,
20185003,42.63233,9.32049,75.0,20160101 00:00,80.0,0.5,0.0,88.0,280.95,282.85,
20223001,42.54,9.19,510.0,20160101 00:00,50.0,0.5,0.0,92.0,278.95,280.15,
20232002,41.81,8.9,407.0,20160101 00:00,0.0,0.0,0.0,94.0,280.95,281.95,
20247001,41.59,9.36,57.0,20160101 00:00,240.0,0.8,,,,,
20254006,41.78,9.14,932.0,20160101 00:00,150.0,1.9,0.0,98.0,278.45,278.85,
20255002,42.43,9.34,780.0,20160101 00:00,,,0.0,,,279.75,
20258001,42.19,8.81,755.0,20160101 00:00,360.0,1.3,0.0,99.0,279.25,279.35,
20268001,41.94,9.11999,837.0,20160101 00:00,240.0,1.1,0.0,100.0,279.25,279.25,
20270001,42.08,8.8,407.0,20160101 00:00,0.0,0.0,0.0,92.0,281.15,282.45,
20272004,41.65,8.98,62.0,20160101 00:00,110.0,0.7,0.0,96.0,281.65,282.45,
20281001,42.8,9.49,111.0,20160101 00:00,220.0,2.7,,,,,
20303002,42.26,9.53999,74.0,20160101 00:00,220.0,3.5,0.0,81.0,280.25,283.35,102510.0
20307002,42.38,9.52,17.0,20160101 00:00,,,0.0,91.0,281.15,282.55,
20314005,42.67,9.22,128.0,20160101 00:00,,,0.0,,,282.45,
20342001,41.92,9.4,17.0,20160101 00:00,290.0,1.9,0.0,84.0,280.75,283.35,102510.0
23001001,46.093999999999994,2.02979,460.0,20160101 00:00,,,0.0,93.0,277.65,278.65,
23008004,45.95783,2.18783,486.0,20160101 00:00,,,0.0,,,275.35,
23013001,46.0347,2.5008,564.0,20160101 00:00,,,0.0,97.0,274.85,275.25,
23067001,45.7,2.25999,772.0,20160101 00:00,320.0,0.9,0.0,100.0,275.05,275.05,
23079002,45.88,2.19,635.0,20160101 00:00,180.0,1.4,0.0,94.0,275.15,276.05,
23106002,46.23,2.36,400.0,20160101 00:00,230.0,0.2,,97.0,271.25,271.65,102880.0
23113001,45.99,2.39,610.0,20160101 00:00,,,0.0,,,275.65,
23209001,46.14,2.25999,440.0,20160101 00:00,,,0.0,,,276.45,
26002003,45.25,4.82,153.0,20160101 00:00,320.0,0.7,0.0,96.0,280.85,281.45,
26035001,44.7795,5.1413,370.0,20160101 00:00,,,0.0,,,280.75,
26047001,44.5355,5.4503,965.0,20160101 00:00,,,0.0,97.0,277.65,278.05,
26050001,44.3205,5.317,556.0,20160101 00:00,,,0.0,87.0,278.25,280.25,
26056001,44.5827,5.1402,416.0,20160101 00:00,,,0.0,99.0,280.15,280.25,
26063002,44.2778,5.2707,390.0,20160101 00:00,,,0.0,,,281.05,
26064001,44.91,4.97,164.0,20160101 00:00,20.0,2.2,0.0,95.0,280.75,281.55,102600.0
26074001,44.96,5.42,879.0,20160101 00:00,10.0,0.7,0.0,98.0,278.15,278.45,
26100001,44.83,5.09,820.0,20160101 00:00,,,0.0,92.0,277.95,279.15,
26113003,44.7683,5.3420000000000005,385.0,20160101 00:00,,,0.0,99.0,278.95,279.05,
26115001,44.7268,4.9903,175.0,20160101 00:00,,,0.0,99.0,281.55,281.65,
26116002,44.419,4.718,68.0,20160101 00:00,,,0.0,97.0,282.15,282.65,
26124001,44.818999999999996,4.8895,145.0,20160101 00:00,,,0.0,96.0,281.25,281.85,
26142001,44.6745,5.6155,1000.0,20160101 00:00,,,0.0,,,277.65,
26165001,44.7942,4.8307,98.0,20160101 00:00,,,0.0,99.0,281.15,281.25,
26167001,44.6173,5.4510000000000005,537.0,20160101 00:00,,,0.0,,,279.05,
26168001,44.67,5.71,1059.0,20160101 00:00,20.0,0.5,0.0,99.0,276.85,276.95,
