number_sta,lat,lon,date,dd,ff,precip,hu,t,heure,minute,seconde,heure_complete
19164001,45.7,2.06,2016-01-01 00:54:00,110.0,1.2,0.0,100.0,273.95,0,54,0,0 days 00:54:00
26321003,44.55,5.28,2016-01-01 00:54:00,0.0,0.0,0.0,97.0,279.45,0,54,0,0 days 00:54:00
34209002,43.32,3.35,2016-01-01 00:54:00,0.0,0.0,0.0,96.0,283.45,0,54,0,0 days 00:54:00
38191002,45.09,6.09,2016-01-01 00:54:00,360.0,2.2,0.0,88.0,274.15,0,54,0,0 days 00:54:00
38548001,45.08,5.56,2016-01-01 00:54:00,160.0,0.2,0.0,99.0,277.05,0,54,0,0 days 00:54:00
74042003,46.07,6.38,2016-01-01 00:54:00,150.0,0.8,0.0,99.0,279.65,0,54,0,0 days 00:54:00
83148002,43.39,6.53,2016-01-01 00:54:00,0.0,0.0,0.0,85.0,280.85,0,54,0,0 days 00:54:00
84025001,43.88,5.16,2016-01-01 00:54:00,360.0,0.6,0.0,98.0,281.55,0,54,0,0 days 00:54:00
7187001,44.61,4.24,2016-01-01 01:00:00,340.0,3.3,0.0,97.0,278.45,1,0,0,0 days 01:00:00
15122002,44.73,2.17,2016-01-01 01:00:00,60.0,0.9,0.0,97.0,276.35,1,0,0,0 days 01:00:00
19164001,45.7,2.06,2016-01-01 01:00:00,110.0,1.4,0.0,100.0,273.95,1,0,0,0 days 01:00:00
26321003,44.55,5.28,2016-01-01 01:00:00,0.0,0.0,0.0,98.0,279.45,1,0,0,0 days 01:00:00
34209002,43.32,3.35,2016-01-01 01:00:00,0.0,0.0,0.0,96.0,283.45,1,0,0,0 days 01:00:00
38191002,45.09,6.09,2016-01-01 01:00:00,350.0,2.0,0.0,87.0,274.15,1,0,0,0 days 01:00:00
38548001,45.08,5.56,2016-01-01 01:00:00,50.0,0.5,0.0,98.0,276.95,1,0,0,0 days 01:00:00
74042003,46.07,6.38,2016-01-01 01:00:00,140.0,0.5,0.0,99.0,279.55,1,0,0,0 days 01:00:00
83148002,43.39,6.53,2016-01-01 01:00:00,0.0,0.0,0.0,85.0,280.65,1,0,0,0 days 01:00:00
84025001,43.88,5.16,2016-01-01 01:00:00,0.0,0.0,0.0,98.0,281.55,1,0,0,0 days 01:00:00
7187001,44.61,4.24,2016-01-01 01:06:00,330.0,3.2,0.0,97.0,278.45,1,6,0,0 days 01:06:00
15122002,44.73,2.17,2016-01-01 01:06:00,70.0,1.4,0.0,97.0,276.55,1,6,0,0 days 01:06:00
19164001,45.7,2.06,2016-01-01 01:06:00,110.0,1.6,0.0,100.0,274.15,1,6,0,0 days 01:06:00
26321003,44.55,5.28,2016-01-01 01:06:00,0.0,0.0,0.0,98.0,279.45,1,6,0,0 days 01:06:00
34209002,43.32,3.35,2016-01-01 01:06:00,190.0,0.5,0.0,95.0,283.55,1,6,0,0 days 01:06:00
38191002,45.09,6.09,2016-01-01 01:06:00,340.0,1.4,0.0,87.0,274.15,1,6,0,0 days 01:06:00
38548001,45.08,5.56,2016-01-01 01:06:00,10.0,0.9,0.0,98.0,276.75,1,6,0,0 days 01:06:00
74042003,46.07,6.38,2016-01-01 01:06:00,0.0,0.0,0.0,99.0,279.55,1,6,0,0 days 01:06:00
83148002,43.39,6.53,2016-01-01 01:06:00,0.0,0.0,0.0,87.0,280.55,1,6,0,0 days 01:06:00
84025001,43.88,5.16,2016-01-01 01:06:00,0.0,0.0,0.0,98.0,281.65,1,6,0,0 days 01:06:00
7187001,44.61,4.24,2016-01-01 01:12:00,330.0,3.0,0.0,96.0,278.65,1,12,0,0 days 01:12:00
15122002,44.73,2.17,2016-01-01 01:12:00,50.0,1.1,0.0,97.0,276.55,1,12,0,0 days 01:12:00
19164001,45.7,2.06,2016-01-01 01:12:00,120.0,1.6,0.0,100.0,273.95,1,12,0,0 days 01:12:00
26321003,44.55,5.28,2016-01-01 01:12:00,0.0,0.0,0.0,97.0,279.45,1,12,0,0 days 01:12:00
34209002,43.32,3.35,2016-01-01 01:12:00,230.0,0.8,0.0,95.0,283.55,1,12,0,0 days 01:12:00
38191002,45.09,6.09,2016-01-01 01:12:00,320.0,1.3,0.0,87.0,274.15,1,12,0,0 days 01:12:00
38548001,45.08,5.56,2016-01-01 01:12:00,20.0,1.2,0.0,98.0,276.65,1,12,0,0 days 01:12:00
74042003,46.07,6.38,2016-01-01 01:12:00,340.0,0.5,0.0,99.0,279.55,1,12,0,0 days 01:12:00
83148002,43.39,6.53,2016-01-01 01:12:00,0.0,0.0,0.0,86.0,280.65,1,12,0,0 days 01:12:00
84025001,43.88,5.16,2016-01-01 01:12:00,0.0,0.0,0.0,98.0,281.65,1,12,0,0 days 01:12:00
7187001,44.61,4.24,2016-01-01 01:18:00,340.0,2.8,0.0,96.0,278.75,1,18,0,0 days 01:18:00
15122002,44.73,2.17,2016-01-01 01:18:00,30.0,0.9,0.0,98.0,276.65,1,18,0,0 days 01:18:00
19164001,45.7,2.06,2016-01-01 01:18:00,120.0,2.0,0.0,100.0,273.95,1,18,0,0 days 01:18:00
26321003,44.55,5.28,2016-01-01 01:18:00,0.0,0.0,0.0,98.0,279.45,1,18,0,0 days 01:18:00
34209002,43.32,3.35,2016-01-01 01:18:00,240.0,0.8,0.0,95.0,283.55,1,18,0,0 days 01:18:00
